Family	Genus	file_name	Mean rate (susbt/site/year)	Lower 95%HPD of rate	Upper 95%HPD of rate	Calibration time	Date-randomisation test	ti/tv	Nucleic acid	Mean root (years)	Lower 95%HPD of root	Upper 95%HPD of root
Geminiviridae	Begomovirus	ACMV25	2.54E-03	7.07E-04	4.37E-03	7.00	PASS	3.85	ssDNA	365.17	88.20	1273.32
Dicistroviridae	Aparavirus	Aspavir+AF8-N38	2.35E-03	2.00E-03	2.70E-03	18.00	PASS	6.35	ssRNA	22.73	18.92	33.10
Nodaviridae	Betanodavirus	Betanodavirus+AF8-rna1+AF8-34	4.70E-04	2.15E-04	8.96E-04	16.00	PASS	2.43	ssRNA	360.13	160.11	733.94
Nodaviridae	Betanodavirus	Betanodavirus+AF8-rna2+AF8-34	2.55E-04	1.31E-04	4.50E-04	16.00	PASS	1.25	ssRNA	1073.52	591.83	1992.64
Polyomaviridae	Polyomavirus	BKvir+AF8-N26	9.59E-05	1.58E-06	2.94E-04	3.00	PASS	10.33	dsDNA	2140.72	101.33	12609.62
Papillomaviridae	Deltapapillomavirus	BPV+AF8-N25	7.29E-02	2.61E-02	1.51E-01	7.00	FAIL	3.24	dsDNA	10.46	7.17	15.54
Poxviridae	Orthopoxvirus	Bupox+AF8-N30	3.15E-04	3.15E-04	3.15E-04	13.00	FAIL	4.89	dsDNA	94.97	92.28	92.28
Luteoviridae	Luteovirus	CabYV126	2.56E-03	2.02E-04	7.36E-03	5.00	PASS	8.37	ssRNA	167.69	7.61	693.68
Poxviridae	Capripoxvirus	Capox+AF8-N29	6.98E-05	2.94E-05	1.25E-04	54.00	PASS	3.08	dsDNA	480.62	215.40	874.50
Bunyaviridae	Nairovirus	CCHV+AF8-S+AF8-55	1.08E-04	2.15E-05	1.92E-04	47.00	PASS	5.16	ssRNA	1869.30	609.10	4099.39
Closteroviridae	Closterovirus	CTV30	2.03E-04	3.39E-05	4.36E-04	20.00	FAIL	2.46	ssRNA	619.88	157.04	2137.65
Luteoviridae	Luteovirus	CYDV126	1.02E-03	4.34E-04	1.83E-03	81.00	PASS	0.97	ssRNA	349.30	83.69	928.70
Flaviviridae	Flavivirus	DeV3+AF8-N41	1.20E-03	7.14E-04	1.86E-03	23.00	PASS	12.83	ssRNA	42.07	26.21	69.96
Flaviviridae	Flavivirus	DV4+AF8-36	7.26E-04	4.45E-04	1.22E-03	49.00	PASS	3.15	ssRNA	157.80	75.84	343.63
Iflaviridae	Iflavirus	DWV+AF8-N1	2.37E-02	1.23E-02	3.23E-02	28.71	PASS	3.50	ssRNA	34.22	29.03	68.19
Filoviridae	Ebolavirus	EBOV+AF8-N2	1.08E-03	6.36E-04	1.52E-03	32.00	PASS	1.18	ssRNA	981.22	247.89	2049.38
Togaviridae	Alphavirus	EqEn+AF8-61	2.23E-03	4.20E-04	3.44E-03	55.00	PASS	1.89	ssRNA	1644.57	91.23	3029.22
Nanoviridae	Nanovirus	FbNYV+AF8-N5	1.53E-03	4.87E-05	5.47E-03	6.00	FAIL	1.56	ssDNA	5045.42	120.90	14847.43
Unassigned	Emaravirus	FMVnuc+AF8-N2	1.48E-03	8.54E-05	4.65E-03	3.00	PASS	10.21	ssRNA	3636.46	144.60	11380.29
Orthomyxoviridae	Influenzavirus	h5n2+AF8-s5+AF8-101	2.18E-03	1.26E-03	3.58E-03	15.00	PASS	1.87	ssRNA	939.43	449.36	1870.28
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s4+AF8-99	2.53E-03	1.35E-03	3.57E-03	42.00	PASS	7.25	ssRNA	75.45	55.10	111.40
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s5+AF8-99	4.63E-03	2.29E-03	5.65E-03	29.00	PASS	5.75	ssRNA	32.08	29.06	58.53
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s6+AF8-99	5.56E-03	4.43E-03	6.75E-03	29.00	PASS	6.10	ssRNA	32.30	29.03	41.50
Bunyaviridae	Hantavirus	Hantavir+AF8-N46	1.52E-03	5.92E-04	2.75E-03	7.00	PASS	2.93	ssRNA	828.05	317.91	1724.13
Hepadnaviridae	Orthohepadnavirus	HBV+AF8-N42	3.17E-03	1.58E-03	4.97E-03	33.00	PASS	1.99	ssRNA	33.31	33.02	34.04
Flaviviridae	Hepacivirus	HCV+AF8-e131	1.47E-03	3.75E-04	2.85E-03	8.00	PASS	8.59	ssRNA	49.87	18.62	135.58
Flaviviridae	Hepacivirus	HCV+AF8-ns5b31	1.11E-03	1.88E-04	2.23E-03	8.00	FAIL	6.76	ssRNA	232.28	17.18	275.80
Unassigned	Deltavirus	HDV+AF8-N8	3.62E-03	4.22E-04	8.11E-03	7.00	FAIL	7.22	ssRNA	231.97	32.90	699.64
Papillomaviridae	Alphapapillomavirus	HPV16+AF8-N24	1.08E-03	3.73E-04	2.37E-03	17.00	PASS	1.02	dsDNA	545.58	20.26	1671.63
