Family	Genus	taxon	taxName	meanRate	low	high	calTime	randTest	trTs	Nuc-acid
Geminiviridae	Begomovirus	ACMV25	ACMV25	0.0025419978	0.000706883	0.004366686	7	3	0.9615961841	ssDNA
Asfarviridae	Asfivirus	ASFV+AF8-N20	ASFV_N20	4.87977481080847e-05	6.67371299236782e-06	0.0001979173	56	3	1.6690615832	dsDNA
Dicistroviridae	Aparavirus	Aspavir+AF8-N38	Aspavir_N38	0.002350181	0.0019956381	0.0026994253	18	3	4.2317759294	ssRNA
Poxviridae	Avipoxvirus	Avpox+AF8-N28	Avpox_N28	2.48933524888718e-05	1.61071727766656e-06	6.6173493637088e-05	28	0	2.3846699838	dsDNA
Nodaviridae	Betanodavirus	Betanodavirus+AF8-rna1+AF8-34	Betanodavirus_rna1_34	0.0004702827	0.0002152412	0.0008964656	16	3	2.4307566083	ssRNA
Nodaviridae	Betanodavirus	Betanodavirus+AF8-rna2+AF8-34	Betanodavirus_rna2_34	0.0002554641	0.0001305818	0.0004498281	16	3	1.24804644	ssRNA
Polyomaviridae	Polyomavirus	bk+AF8-111	bk_111	0.0006457538	0.000624406	0.0010347138	66	0	0.7784954486	dsDNA
Polyomaviridae	Polyomavirus	BKvir+AF8-N26	BKvir_N26	9.59134925507743e-05	1.57914293128887e-06	0.0002935988	3	1	2.0650740744	dsDNA
Papillomaviridae	Deltapapillomavirus	BPV+AF8-N25	BPV_N25	0.0728560794	0.0260985013	0.1506840949	7	0	1.0802726836	dsDNA
Poxviridae	Orthopoxvirus	Bupox+AF8-N30	Bupox_N30	0.000314518	0.000314518	0.000314518	13	0	0.6521523666	dsDNA
Luteoviridae	Luteovirus	CabYV126	CabYV126	0.0025604405	0.0002020633	0.0073553833	5	1	2.0926060183	ssRNA
Poxviridae	Capripoxvirus	Capox+AF8-N29	Capox_N29	6.98274528461326e-05	2.94494396169277e-05	0.0001248237	54	3	3.0816422784	dsDNA
Bunyaviridae	Nairovirus	CCHV+AF8-M+AF8-55	CCHV_M_55	0.000466454	5.8274860502037e-05	0.0016584475	37	0	3.6894402969	ssRNA
Bunyaviridae	Nairovirus	CCHV+AF8-S+AF8-55	CCHV_S_55	0.000107545	2.15187353824157e-05	0.0001920672	47	1	5.1572637333	ssRNA
Closteroviridae	Closterovirus	CTV30	CTV30	0.0002033372	3.38931840421531e-05	0.0004360882	20	0	2.4607480523	ssRNA
Luteoviridae	Luteovirus	CYDV126	CYDV126	0.0010218024	0.0004342787	0.0018286513	81	3	0.9748081336	ssRNA
Flaviviridae	Flavivirus	DeV3+AF8-N41	DeV3_N41	0.0011984205	0.0007143426	0.0018571792	23	3	8.5556419621	ssRNA
Flaviviridae	Flavivirus	DV4+AF8-36	DV4_36	0.0007258902	0.0004454641	0.0012239452	49	3	3.1516913011	ssRNA
Iflaviridae	Iflavirus	DWV+AF8-N1	DWV_N1	0.0237285569	0.0123223061	0.0322887086	28.71	3	2.3322152009	ssRNA
Filoviridae	Ebolavirus	EBOV+AF8-N2	EBOV_N2	0.0010817601	0.0006356195	0.0015157062	32	3	1.1841438623	ssRNA
Togaviridae	Alphavirus	EqEn+AF8-61	EqEn_61	0.0022291521	0.000420005	0.0034422843	55	1	1.89486235	ssRNA
Adenoviridae	Aviadenovirus	FAdenovir+AF8-N18	FAdenovir_N18	0.0002784284	4.61915736883104e-06	0.0011801752	5	0	0.9769998976	dsDNA
Nanoviridae	Nanovirus	FbNYV+AF8-N5	FbNYV_N5	0.0015315409	4.87010159730412e-05	0.0054719772	6	0	0.78172564	ssDNA
Unassigned	Emaravirus	FMVnuc+AF8-N2	FMVnuc_N2	0.0014849357	8.54042062560691e-05	0.0046537584	3	3	2.5519256504	ssRNA
Orthomyxoviridae	Influenzavirus	h5n2+AF8-s5+AF8-101	h5n2_s5_101	0.0021784481	0.001260132	0.0035781638	15	3	1.8688743446	ssRNA
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s4+AF8-99	h9n2_s4_99	0.0025299562	0.0013488178	0.0035688442	42	3	4.8358181413	ssRNA
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s5+AF8-99	h9n2_s5_99	0.0046258801	0.0022926922	0.0056463131	29	3	3.8360430394	ssRNA
Orthomyxoviridae	Influenzavirus	h9n2+AF8-s6+AF8-99	h9n2_s6_99	0.0055589035	0.0044348962	0.0067539825	29	3	4.0685897872	ssRNA
Bunyaviridae	Hantavirus	Hantavir+AF8-N46	Hantavir_N46	0.0015240393	0.0005921307	0.0027487772	7	3	1.4651510229	ssRNA
Hepadnaviridae	Orthohepadnavirus	HBV+AF8-N42	HBV_N42	0.0031735291	0.0015786259	0.0049685047	33	3	1.3249496114	ssRNA
Flaviviridae	Hepacivirus	HCV+AF8-e131	HCV_e131	0.001474178	0.0003754538	0.0028487232	8	2	5.7252236955	ssRNA
Flaviviridae	Hepacivirus	HCV+AF8-ns5b31	HCV_ns5b31	0.0011107144	0.0001879003	0.0022271559	8	1	6.7556163335	ssRNA
Unassigned	Deltavirus	HDV+AF8-N8	HDV_N8	0.0036208319	0.0004223144	0.0081121424	7	1	1.804928535	ssRNA
Papillomaviridae	Alphapapillomavirus	HPV16+AF8-N24	HPV16_N24	0.0010758518	0.000372642	0.0023730255	17	3	1.0235625372	dsDNA
Papillomaviridae	Papillomavirus	HPV31+AF8-N33	HPV31_N33	4.57841212559166e-05	1.65356790168916e-06	0.0001504085	6	3	2.1135743307	dsDNA
Papillomaviridae	Alphapapillomavirus	HPV6+AF8-N32	HPV6_N32	9.72627451605441e-05	1.70602179190462e-05	0.0002389516	9	0	0.3585162703	dsDNA
