"data_set_name"	"titv_comp"	"root_age_comp"	"dnds_comp"	"alpha_comp"	"cg_comp"	"titv_subsamp"	"root_age_subsamp"	"dnds_subsamp"	"alpha_subsamp"	"cg_subsamp"
"ASFV_N10"	6.14004	893.776225939	0.48326	0.09313	0.871410316766426	19.76167	110.6072928678	0.51207	0.03693	0.854055699284737
"BYDV24"	2.47611	892.7593383553	0.20023	0.03528	0.96326530612245	4.82234	693.03086386	0.2788	0.03504	0.973481797056548
"Capox_N29"	6.17158	283.9323926791	0.2204	0.09161	0.38557131495228	18.76591	30.2412090804	0.290009	0.03954	0.37574832009774
"CYDV126"	3.80269	86.5294285311	1.33194	0.08522	0.904586188719031	2.98668	31.1017928281	1.37004	0.06361	0.905701196233138
"dv4_36"	12.74142	132.9441725319	0.04916	0.12577	0.852685734661133	14.40407	38.402276122	0.04944	0.12716	0.855714006641921
"ebov_n2"	2.79158	738.74228793	0.77253	0.10552	0.911452254840351	10.49693	46.066911139	1.07484	0.11245	0.932341075128122
"HBV_N42"	2.30882	263.441318009	0.54385	0.10171	1.05092018196857	4.55447	78.261835809	0.5726	0.09801	1.05985915492958
"HIV_S4env"	4.42662	39.4319269926	0.79461	0.1192	0.701976506998664	4.40508	15.3477971808	0.89122	0.06472	0.702500425242389
"rabv_128"	5.7953	87.500876643	0.09892	0.12509	0.916506236978824	5.27208	53.091295613	0.1071	0.11816	0.914965711980636
"sivscHIV2_132"	3.22417	88.0874656282	0.29884	0.15818	0.666666666666667	11.17226	65.675668425	0.3286	0.12349	0.661733615221989
