ACCN,Sampling times,reference
AB062064,1937,Moureau et al. 2015
AF069066,1969,Moureau et al. 2015
AF094612.1,1979,Moureau et al. 2015
AF144692.1,1954,Moureau et al. 2015
AF160193,1954,Moureau et al. 2015
AF311056,1995,Moureau et al. 2015
AJ242984.1,1958,Moureau et al. 2015
AJ299445.1,1958,Moureau et al. 2015
AY277251,1998,Moureau et al. 2015
AY323490,1957,Moureau et al. 2015
AY453411,2001,Moureau et al. 2015
AY453412.1,1958,Moureau et al. 2015
AY618991,1977,Moureau et al. 2015
AY632537,1957,Moureau et al. 2015
AY632538.4,1979,Moureau et al. 2015
AY632539.4,1944,Moureau et al. 2015
AY632542.4,1975,Moureau et al. 2015
AY632545.2,1966,Moureau et al. 2015
AY648961,1978,Moureau et al. 2015
AY765264,1997,Moureau et al. 2015
AY842931,1999,Moureau et al. 2015
AY898809,1966,Moureau et al. 2015
AY968064,1971,Moureau et al. 2015
D00246.1,1960,Moureau et al. 2015
DQ116961,2004,Moureau et al. 2015
DQ181801,1990,Moureau et al. 2015
DQ235144.1,1981,Moureau et al. 2015
DQ235145.1,1975,Moureau et al. 2015
DQ235146.1,1967,Moureau et al. 2015
DQ235147,1972,Moureau et al. 2015
DQ235148.1,1971,Moureau et al. 2015
DQ235149.1,1968,Moureau et al. 2015
DQ235150.1,1974,Moureau et al. 2015
DQ235151.1,1969,Moureau et al. 2015
DQ235152.1,1987,Moureau et al. 2015
DQ235153.1,1969,Moureau et al. 2015
DQ256376,1980,Moureau et al. 2015
DQ318020,1982,Moureau et al. 2015
DQ359217.1,1975,Moureau et al. 2015
DQ859056.1,1956,Moureau et al. 2015
DQ859057.1,1967,Moureau et al. 2015
DQ859058.1,1955,Moureau et al. 2015
DQ859059.1,1947,Moureau et al. 2015
DQ859060.1,1969,Moureau et al. 2015
DQ859061,1972,Moureau et al. 2015
DQ859062.1,1968,Moureau et al. 2015
DQ859063.1,1966,Moureau et al. 2015
DQ859064.1,1955,Moureau et al. 2015
DQ859065.1,1947,Moureau et al. 2015
DQ859066.1,1968,Moureau et al. 2015
DQ859067.1,1989,Moureau et al. 2015
EF105385,1974,Moureau et al. 2015
EU081265,2005,Moureau et al. 2015
EU082199.1,1968,Moureau et al. 2015
EU082200,1968,Moureau et al. 2015
EU482458,2006,Moureau et al. 2015
EU482757,2005,Moureau et al. 2015
EU482822,2006,Moureau et al. 2015
EU545988,2007,Moureau et al. 2015
EU687249,2007,Moureau et al. 2015
FJ606789,2004,Moureau et al. 2015
FJ883471,2008,Moureau et al. 2015
FJ898457,2000,Moureau et al. 2015
GQ199877,2007,Moureau et al. 2015
GQ398262,1976,Moureau et al. 2015
GQ868600,1969,Moureau et al. 2015
JF262779,1975,Moureau et al. 2015
JF262782,1994,Moureau et al. 2015
JF312912.1,2010,Moureau et al. 2015
JF912181,1983,Moureau et al. 2015
JF912184,1987,Moureau et al. 2015
JF926699,2010,Moureau et al. 2015
JX236040.1,1966,Moureau et al. 2015
JX477685,1955,Moureau et al. 2015
JX477686.1,2000,Moureau et al. 2015
JX898878,2005,Moureau et al. 2015
KC692067,2007,Moureau et al. 2015
KC692068,2007,Moureau et al. 2015
KC734549,1985,Moureau et al. 2015
KC734550,1995,Moureau et al. 2015
KC734551,2010,Moureau et al. 2015
KC734553,2010,Moureau et al. 2015
KF917535.1,1975,Moureau et al. 2015
KF917536.1,1977,Moureau et al. 2015
KF917537.1,1959,Moureau et al. 2015
KF917539.1,1943,Moureau et al. 2015
KM225263,1961,Moureau et al. 2015
