Site_Index	Partition_Index	Rate_Category
1	1	1
2	1	2
3	1	1
4	1	2
5	1	1
6	1	2
7	1	2
8	1	3
9	1	1
10	1	3
11	1	2
12	1	1
13	1	3
14	1	1
15	1	2
16	1	2
17	1	1
18	1	3
19	1	3
20	1	1
21	1	2
22	1	3
23	1	1
24	1	3
25	1	2
26	1	1
27	1	3
28	1	2
29	1	1
30	1	1
31	1	2
32	1	3
33	1	2
34	1	2
35	1	2
36	1	2
37	1	3
38	1	2
39	1	1
40	1	1
41	1	2
42	1	1
43	1	3
44	1	1
45	1	3
46	1	1
47	1	2
48	1	1
49	1	1
50	1	1
51	1	1
52	1	3
53	1	1
54	1	2
55	1	2
56	1	2
57	1	1
58	1	3
59	1	2
60	1	3
61	1	3
62	1	2
63	1	2
64	1	1
65	1	1
66	1	2
67	1	2
68	1	1
69	1	2
70	1	2
71	1	1
72	1	3
73	1	2
74	1	2
75	1	2
76	1	2
77	1	3
78	1	3
79	1	3
80	1	1
81	1	2
82	1	2
83	1	1
84	1	1
85	1	2
86	1	2
87	1	2
88	1	3
89	1	3
90	1	3
91	1	1
92	1	1
93	1	2
94	1	1
95	1	1
96	1	2
97	1	1
98	1	3
99	1	3
100	1	2
101	1	2
102	1	2
103	1	3
104	1	2
105	1	2
106	1	3
107	1	1
108	1	3
109	1	2
110	1	3
111	1	3
112	1	1
113	1	3
114	1	3
115	1	3
116	1	3
117	1	1
118	1	1
119	1	3
120	1	2
121	1	1
122	1	1
123	1	3
124	1	2
125	1	2
126	1	2
127	1	1
128	1	3
129	1	2
130	1	1
131	1	1
132	1	2
133	1	1
134	1	1
135	1	1
136	1	2
137	1	3
138	1	2
139	1	3
140	1	3
141	1	2
142	1	2
143	1	2
144	1	3
145	1	1
146	1	1
147	1	3
148	1	3
149	1	2
150	1	2
151	1	1
152	1	3
153	1	1
154	1	3
155	1	3
156	1	2
157	1	1
158	1	3
159	1	2
160	1	3
161	1	3
162	1	2
163	1	1
164	1	2
165	1	1
